id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
jXixje7XUgCwSfG5U7nK2g,deadbeach-brewery-el-paso,DeadBeach Brewery,https://s3-media2.fl.yelpcdn.com/bphoto/CzGIsa_ViDTQAQSwfsYAcw/o.jpg,False,https://www.yelp.com/biz/deadbeach-brewery-el-paso?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,106,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.5,"{'latitude': 31.75533, 'longitude': -106.49245}","['delivery', 'pickup']",$$,"{'address1': '406 S Durango St', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79901', 'country': 'US', 'state': 'TX', 'display_address': ['406 S Durango St', 'El Paso, TX 79901']}",+18559152337,(855) 915-2337,7473.798317513078
kLIAtWMMKMPoTuju_b8HtA,bella-mamma-ciudad-juárez,Bella Mamma,https://s3-media3.fl.yelpcdn.com/bphoto/sSW4b_eK29VYLklvDQ3tmQ/o.jpg,False,https://www.yelp.com/biz/bella-mamma-ciudad-ju%C3%A1rez?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,3,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",5.0,"{'latitude': 31.6917705, 'longitude': -106.4028698}",[],,"{'address1': 'Ejército Nacional 8397', 'address2': '', 'address3': '', 'city': 'Ciudad Juárez', 'zip_code': '32618', 'country': 'MX', 'state': 'CHH', 'display_address': ['Ejército Nacional 8397', '32618 Ciudad Juárez, Chihuahua', 'Mexico']}",+526567908905,+52 656 790 8905,10666.658563429504
HtVPz8ukLxqJOuK_4aAz8A,pbs-pizza-san-elizario,PB's Pizza,,False,https://www.yelp.com/biz/pbs-pizza-san-elizario?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,4,"[{'alias': 'pizza', 'title': 'Pizza'}]",5.0,"{'latitude': 31.5996239, 'longitude': -106.2742243}","['delivery', 'pickup']",,"{'address1': '11970 Socorro Rd', 'address2': None, 'address3': None, 'city': 'San Elizario', 'zip_code': '79849', 'country': 'US', 'state': 'TX', 'display_address': ['11970 Socorro Rd', 'San Elizario, TX 79849']}",+19158514888,(915) 851-4888,25829.442589908977
-tXyy8-F-eW8uE8T3fgjxA,the-hoppy-monk-el-paso-el-paso,The Hoppy Monk - El Paso,https://s3-media1.fl.yelpcdn.com/bphoto/E2mfIuh8dRqEdbVFCGNy2g/o.jpg,False,https://www.yelp.com/biz/the-hoppy-monk-el-paso-el-paso?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,692,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 31.792461, 'longitude': -106.5087999}",['delivery'],$$,"{'address1': '4141 N Mesa St', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['4141 N Mesa St', 'El Paso, TX 79902']}",+19153073263,(915) 307-3263,7702.645553484808
XP-WSR241ItILwvoCuK2ow,marcos-pizza-el-paso-6,Marco's Pizza,,False,https://www.yelp.com/biz/marcos-pizza-el-paso-6?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,4,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 31.89820827572268, 'longitude': -106.43079}",[],,"{'address1': '4830 Woodrow Bean Transmountain', 'address2': 'Ste A', 'address3': None, 'city': 'El Paso', 'zip_code': '79924', 'country': 'US', 'state': 'TX', 'display_address': ['4830 Woodrow Bean Transmountain', 'Ste A', 'El Paso, TX 79924']}",+19158002777,(915) 800-2777,11659.957903309136
cko5diDp42dNT3l1KnJPJQ,pizza-junction-el-paso-2,Pizza Junction,https://s3-media3.fl.yelpcdn.com/bphoto/iLrrJKxsiMtDJyJ-UbIsEQ/o.jpg,False,https://www.yelp.com/biz/pizza-junction-el-paso-2?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,14,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.0,"{'latitude': 31.81065, 'longitude': -106.2148799}","['delivery', 'pickup']",$$,"{'address1': '3790 N Zaragoza Rd', 'address2': 'Ste D', 'address3': '', 'city': 'El Paso', 'zip_code': '79938', 'country': 'US', 'state': 'TX', 'display_address': ['3790 N Zaragoza Rd', 'Ste D', 'El Paso, TX 79938']}",+19158499737,(915) 849-9737,20163.021481775122
_9LGh2CF_bhbtPr2qIMeZw,great-american-pizza-el-paso,Great American Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/Si9XkcxkcVUTFgcchdO5Ng/o.jpg,False,https://www.yelp.com/biz/great-american-pizza-el-paso?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,74,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 31.87862449999999, 'longitude': -106.5680289}","['delivery', 'pickup']",$,"{'address1': '1520 N Resler Dr', 'address2': 'Ste H', 'address3': '', 'city': 'El Paso', 'zip_code': '79912', 'country': 'US', 'state': 'TX', 'display_address': ['1520 N Resler Dr', 'Ste H', 'El Paso, TX 79912']}",+19155842888,(915) 584-2888,16326.201474132771
JnhEWPkyctm4fL2a0Dksow,1-8-pizza-pub-el-paso,1/8 Pizza Pub,https://s3-media4.fl.yelpcdn.com/bphoto/Ofy6Ikv4E4oCuunyrXgNwA/o.jpg,False,https://www.yelp.com/biz/1-8-pizza-pub-el-paso?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,108,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.0,"{'latitude': 31.7822139011515, 'longitude': -106.461429856718}",['delivery'],$$,"{'address1': '830 N Piedras St', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79903', 'country': 'US', 'state': 'TX', 'display_address': ['830 N Piedras St', 'El Paso, TX 79903']}",+19153451814,(915) 345-1814,3456.2656759784477
shu0Wun1ZM8wjXBg-w2rEw,speedys-pizza-el-paso-9,Speedy's Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/UX5EA591U8zOVH80_BFyeA/o.jpg,False,https://www.yelp.com/biz/speedys-pizza-el-paso-9?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,1,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",5.0,"{'latitude': 31.8609833, 'longitude': -106.5593278}",[],,"{'address1': '931 N Resler', 'address2': 'Ste 106', 'address3': None, 'city': 'El Paso', 'zip_code': '79912', 'country': 'US', 'state': 'TX', 'display_address': ['931 N Resler', 'Ste 106', 'El Paso, TX 79912']}",+19154404190,(915) 440-4190,14562.328488699219
V6tYQ7l3xr6__db0wOK7FQ,a-taste-of-cappettos-el-paso,A Taste Of Cappettos,,False,https://www.yelp.com/biz/a-taste-of-cappettos-el-paso?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ad7k7mINO2TA7iL0CPp8sg,1,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,"{'latitude': 31.76739, 'longitude': -106.49352}",['delivery'],,"{'address1': '1309 N Stanton St', 'address2': None, 'address3': None, 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['1309 N Stanton St', 'El Paso, TX 79902']}",,,6918.038951740368
